book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
First Epistle to the Thessalonians	1		ⲡⲣⲟⲥ ⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲏ ⲁ̅ ⲏ̅ ⲁ̅									
First Epistle to the Thessalonians	1	1	 ⲡⲁⲩⲗⲟⲥ ⲛⲉⲙ ⲥⲓⲗⲟⲩⲁⲛⲟⲥ ⲛⲉⲙ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛ̀ϯⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̀ⲧⲉ ⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲏ ϧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲙ̀ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡϩⲙⲟⲧ ⲛⲱⲧⲉⲛ ⲛⲉⲙ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲡⲉⲛⲓⲱⲧ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅	 ⲡⲁⲩⲗⲟⲥ ⲙⲛ̅ ⲥⲓⲗⲟⲩⲁⲛⲟⲥ ⲙⲛ̅ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲉⲩⲥϩⲁⲓ ⲛ̅ⲧⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ̅ⲛⲉⲑⲉⲥⲥⲁⲗⲟⲛⲓⲕⲉⲩⲥ ϩⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ ⲙⲛ̅ ⲡϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲏⲧⲛ̅ ⲙⲛ̅ ϯⲣⲏⲛⲏ:	 I. Paul and Silouanos and Timotheos to the church of Thessalonike in God the Father of our Lord Jesus Christ: (the) grace to you and (the) peace from God our Father and our Lord Jesus Christ.	 Παῦλος καὶ Σιλουανὸς καὶ Τιμόθεος τῇ ἐκκλησίᾳ Θεσσαλονικέων ἐν θεῷ πατρὶ καὶ κυρίῳ Ἰησοῦ Χριστῷ· χάρις ὑμῖν καὶ εἰρήνη.						
First Epistle to the Thessalonians	1	2	 ⲧⲉⲛϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲫϯ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲉⲛ ⲑⲏⲛⲟⲩ ⲧⲏⲣⲟⲩ ⲉⲛⲓⲣⲓ ⲙ̀ⲡⲉⲧⲉⲛⲙⲉⲩⲓ ϧⲉⲛ ⲛⲉⲛⲡⲣⲟⲥⲉⲩⲭⲏ ϧⲉⲛ ⲟⲩⲙⲉⲧⲁⲧⲙⲟⲩⲛⲕ	 ⲧⲛ̅ϣⲡϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲁⲣⲱⲧⲛ̅ ⲧⲏⲣⲧⲛ̅. ⲉⲛⲉⲓⲣⲉ ⲙ̅ⲡⲉⲧⲛ̅ⲙⲉⲉⲩⲉ ϩⲛ ⲛⲉⲛϣⲗⲏⲗ ⲁϫⲛ̅ ⲱϫⲛ̅.	 We give thanks to God always for you all, remembering you in our prayers unfailingly,	 Εὐχαριστοῦμεν τῷ θεῷ πάντοτε περὶ πάντων ὑμῶν μνείαν ποιούμενοι ἐπὶ τῶν προσευχῶν ἡμῶν, ἀδιαλείπτως						
First Epistle to the Thessalonians	1	3	 ⲉⲛⲓⲣⲓ ⲙ̀ⲫⲙⲉⲩⲓ ⲙ̀ⲡϩⲱⲃ ⲛ̀ⲧⲉ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲛⲉⲙ ⲡϧⲓⲥⲓ ⲛ̀ⲧⲉ ϯⲁⲅⲁⲡⲏ ⲛⲉⲙ ϯϩⲩⲡⲟⲙⲟⲛⲏ ⲛ̀ⲧⲉ ϯϩⲉⲗⲡⲓⲥ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲫϯ ⲟⲩⲟϩ ⲡⲉⲛⲓⲱⲧ	 ⲉⲛⲉⲓⲣⲉ ⲙ̅ⲡⲙⲉⲉⲩⲉ ⲙ̅ⲡϩⲱⲃ ⲛ̅ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ. ⲙⲛ̅ ⲡϩⲓⲥⲉ ⲛ̅ⲧⲉⲧⲛ̅ⲁⲅⲁⲡⲏ. ⲙⲛ̅ ⲑⲩⲡⲟⲙⲟⲛⲏ ⲛ̅ⲑⲉⲗⲡⲓⲥ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲙ̅ⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉⲛⲉⲓⲱⲧ.	 remembering (the) work of your faith and (the) toil of the love and the patience and the hope of our Lord Jesus Christ before God and our Father;	 μνημονεύοντες ὑμῶν τοῦ ἔργου τῆς πίστεως καὶ τοῦ κόπου τῆς ἀγάπης καὶ τῆς ὑπομονῆς τῆς ἐλπίδος τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἔμπροσθεν τοῦ θεοῦ καὶ πατρὸς ἡμῶν,						
First Epistle to the Thessalonians	1	4	 ⲉⲛⲉⲙⲓ ⲛⲉⲛⲥⲛⲏⲟⲩ ⲉⲧⲁ ⲫϯ ⲙⲉⲛⲣⲓⲧⲟⲩ ⲉⲧⲉⲧⲉⲛⲙⲉⲧⲥⲱⲧⲡ	 ⲉⲛⲥⲟⲟⲩⲛ ⲛⲉⲥⲛⲏⲩ ⲙ̅ⲙⲉⲣⲓⲧ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲛ̅ⲧⲉⲧⲛ̅ⲙⲛ̅ⲧⲥⲱⲧⲡ̅	 knowing, our brethren whom God loved, your election,	 εἰδότες, ἀδελφοὶ ἠγαπημένοι ὑπὸ θεοῦ, τὴν ἐκλογὴν ὑμῶν,						
First Epistle to the Thessalonians	1	5	 ϫⲉ ⲡⲉⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̀ⲡⲉϥϣⲱⲡⲓ ϩⲁⲣⲱⲧⲉⲛ ϧⲉⲛ ⲡⲥⲁϫⲓ ⲙ̀ⲙⲁⲩⲁⲧϥ ⲁⲗⲗⲁ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲟⲩϫⲟⲙ ⲛⲉⲙ ⲟⲩⲡⲛⲁ ⲉϥⲟⲩⲁⲃ ⲛⲉⲙ ⲟⲩⲛⲟⲙϯ ⲉ̀ⲛⲁϣⲱϥ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲉⲧⲉⲛⲥⲱⲟⲩⲛ ⲙ̀ⲡⲓⲣⲏϯ ⲉⲧⲁⲛϣⲱⲡⲓ ⲙ̀ⲙⲟϥ ⲛⲱⲧⲉⲛ ⲉⲑⲃⲉ ⲑⲏⲛⲟⲩ	 ϫⲉ ⲡⲉⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙ̅ⲡϥ̅ϣⲱⲡⲉ ⲉϩⲟⲩⲛ ⲉⲣⲱⲧⲛ̅ ϩⲙ̅ ⲡϣⲁϫⲉ ⲙ̅ⲙⲁⲧⲉ. ⲁⲗⲗⲁ ϩⲛ̅ ⲧⲕⲉϭⲟⲙ. ⲁⲩⲱ ϩⲙ̅ ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲧⲟⲩⲁⲁⲃ ⲙⲛ̅ ⲟⲩⲧⲱⲧ ⲛ̅ϩⲏⲧ ⲉⲛⲁϣⲱϥ. ⲕⲁⲧⲁ ⲑⲉ ⲉⲧⲉⲧⲛ̅ⲥⲟⲟⲩⲛ. ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲛϣⲱⲡⲉ ⲙ̅ⲙⲟⲥ ⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅ ⲉⲧⲃⲉ ⲧⲏⲩⲧⲛ̅.	 because our Gospel came not to you in (the) word only, but in [a] power and [a] holy spirit and much comfort. According as ye know the manner (in) which we became to you because of you.	 ὅτι τὸ εὐαγγέλιον ἡμῶν οὐκ ἐγενήθη εἰς ὑμᾶς ἐν λόγῳ μόνον ἀλλὰ καὶ ἐν δυνάμει καὶ ἐν πνεύματι ἁγίῳ καὶ πληροφορίᾳ πολλῇ, καθὼς οἴδατε οἷοι ἐγενήθημεν ἐν ὑμῖν διʼ ὑμᾶς·						
First Epistle to the Thessalonians	1	6	 ⲟⲩⲟϩ ⲛ̀ⲑⲱⲧⲉⲛ ϩⲱⲧⲉⲛ ⲁⲣⲉⲧⲉⲛϣⲱⲡⲓ ⲉⲣⲉⲧⲉⲛⲟⲛⲓ ⲙ̀ⲙⲟⲛ ⲛⲉⲙ ⲡϭ̅ⲥ̅ ⲉ̀ⲁⲣⲉⲧⲉⲛϣⲉⲡ ⲡⲓⲥⲁϫⲓ ⲉ̀ⲣⲱⲧⲉⲛ ϧⲉⲛ ⲟⲩⲛⲓϣϯ ⲛ̀ϩⲟϫϩⲉϫ ⲛⲉⲙ ⲟⲩⲣⲁϣⲓ ⲛ̀ⲧⲉ ⲡⲓⲡⲛ̅ⲁ̅ ⲉⲑⲟⲩⲁⲃ	 ⲁⲩⲱ ⲛ̅ⲧⲱⲧⲛ̅ ⲁⲧⲉⲧⲛ̅ϣⲱⲡⲉ ⲉⲧⲉⲧⲛ̅ⲧⲛ̅ⲧⲱⲛ ⲉⲣⲟⲛ. ⲉⲁⲧⲉⲧⲛ̅ϫⲓ ⲙ̅ⲡϣⲁϫⲉ ⲙ̅ⲡϫⲟⲉⲓⲥ ϩⲛ̅ ⲟⲩⲑⲗⲓⲯⲓⲥ ⲉⲛⲁϣⲱⲥ ⲙⲛ̅ ⲟⲩⲣⲁϣⲉ ⲙ̅ⲡⲉⲡⲛ̅ⲁ̅ ⲉⲧⲟⲩⲁⲁⲃ.	 And ye also became like to us and the Lord, having received the word in a great tribulation and a joy of the holy spirit;	 καὶ ὑμεῖς μιμηταὶ ἡμῶν ἐγενήθητε καὶ τοῦ κυρίου, δεξάμενοι τὸν λόγον ἐν θλίψει πολλῇ μετὰ χαρᾶς πνεύματος ἁγίου,						
First Epistle to the Thessalonians	1	7	 ϩⲱⲥⲧⲉ ⲛ̀ⲧⲉⲧⲉⲛϣⲱⲡⲓ ⲛ̀ⲧⲩⲡⲟⲥ ⲛ̀ⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⲉⲑⲛⲁϩϯ ϧⲉⲛ ⲑⲙⲁⲕⲉⲇⲟⲛⲓⲁ ⲛⲉⲙ ϯⲁⲭⲁⲓⲁ	 ϩⲱⲥⲧⲉ ⲛ̅ⲧⲉⲧⲛ̅ϣⲱⲡⲉ ⲛ̅ⲥⲙⲟⲧ ⲛ̅ⲛⲉⲧⲡⲓⲥⲧⲉⲩⲉ ⲧⲏⲣⲟⲩ ϩⲛ̅ ⲧⲙⲁⲕⲉⲇⲟⲛⲓⲁ. ⲙⲛ̅ ⲧⲁⲭⲁⲓⲁ.	 so that ye became (an) example to all who believe in (the) Makedonia and [the] Achaia.	 ὥστε γενέσθαι ὑμᾶς τύπον πᾶσιν τοῖς πιστεύουσιν ἐν τῇ Μακεδονίᾳ καὶ ἐν τῇ Ἀχαΐᾳ.						
First Epistle to the Thessalonians	1	8	 ⲉⲧⲁ ⲡⲥⲁϫⲓ ⲅⲁⲣ ⲙ̀ⲡϭ̅ⲥ̅ ⲥⲱⲣ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲑⲏⲛⲟⲩ ⲟⲩ ⲙⲟⲛⲟⲛ ϧⲉⲛ ⲑⲙⲁⲕⲉⲇⲟⲛⲓⲁ ⲛⲉⲙ ϯⲁⲭⲁⲓⲁ ⲁⲗⲗⲁ ϧⲉⲛ ⲙⲁⲓ ⲛⲓⲃⲉⲛ ⲁ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲉⲧϩⲁ ⲫϯ ⲁϥⲥⲱⲣ ⲉ̀ⲃⲟⲗ ϩⲱⲥⲧⲉ ⲁ̀ⲛⲟⲛ ⲛ̀ⲧⲉⲛϣⲧⲉⲙⲉⲣⲭⲣⲓⲁ ⲛ̀ⲥⲁϫⲓ ⲉⲑⲃⲉ ϩⲗⲓ	 ⲛ̅ⲧⲁ ⲡϣⲁϫⲉ ⲅⲁⲣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ϯⲥⲟⲉⲓⲧ ⲉⲃⲟⲗ ⲛ̅ϩⲏⲧ ⲧⲏⲩⲧⲛ̅ ϩⲛ̅ ⲧⲙⲁⲕⲉⲇⲟⲛⲓⲁ ⲙ̅ⲙⲁⲧⲉ ⲁⲛ ⲙⲛ̅ ⲧⲁⲭⲁⲓⲁ. ⲁⲗⲗⲁ ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ⲉⲧϫⲓ ⲉϩⲟⲩⲛ ⲉⲡⲛⲟⲩⲧⲉ ⲁⲥⲣ̅ⲥⲟⲉⲓⲧ ϩⲙ̅ ⲙⲁ ⲛⲓⲙ. ϩⲱⲥⲧⲉ ⲛ̅ⲧⲛ̅ⲧⲙ̅ⲣ̅ⲭⲣⲓⲁ ⲛ̅ϫⲉ ⲗⲁⲁⲩ ⲛⲁⲩ.	 For (the) word of the Lord spread abroad from you not only in (the) Makedonia and [the] Achaia, but in every place your faith, which is toward God, was spread abroad; so that we (pron.) have not need of speaking concerning anything.	 ἀφʼ ὑμῶν γὰρ ἐξήχηται ὁ λόγος τοῦ κυρίου οὐ μόνον ἐν τῇ Μακεδονίᾳ καὶ Ἀχαΐᾳ, ἀλλʼ ἐν παντὶ τόπῳ ἡ πίστις ὑμῶν ἡ πρὸς τὸν θεὸν ἐξελήλυθεν, ὥστε μὴ χρείαν ἔχειν ἡμᾶς λαλεῖν τι·						
First Epistle to the Thessalonians	1	9	 ⲛ̀ⲑⲱⲟⲩ ⲅⲁⲣ ⲉⲧⲥⲁϫⲓ ⲉⲑⲃⲏⲧⲉⲛ ⲉⲑⲃⲉ ⲫⲣⲏϯ ⲙ̀ⲡⲓⲙⲱⲓⲧ ⲉ̀ϧⲟⲩⲛ ⲉⲧⲁⲛϣⲱⲡⲓ ⲙ̀ⲙⲟϥ ϩⲁⲣⲱⲧⲉⲛ ⲛⲉⲙ ⲡⲓⲣⲏϯ ⲉⲧⲁⲣⲉⲧⲉⲛⲕⲉⲧ ⲑⲏⲛⲟⲩ ϩⲁ ⲫϯ ⲉ̀ⲃⲟⲗ ϩⲁ ⲛⲓⲓⲇⲱⲗⲟⲛ ⲉ̀ⲉⲣⲃⲱⲕ ⲙ̀ⲫϯ ⲉⲧⲟⲛϧ ⲛ̀ⲑⲙⲏⲓ	 ⲛ̅ⲧⲟⲟⲩ ⲅⲁⲣ ⲥⲉϣⲁϫⲉ ⲉⲧⲃⲉ ⲧⲏⲩⲧⲛ̅ ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲛⲉⲓ ⲉϩⲟⲩⲛ ϣⲁⲣⲱⲧⲛ̅ ⲙ̅ⲙⲟⲥ. ⲁⲩⲱ ⲛ̅ⲑⲉ ⲉⲛⲧⲁⲧⲉⲧⲛ̅ⲕⲉⲧ ⲧⲏⲩⲧⲛ̅ ⲉⲡⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲛ̅ ⲛ̅ⲉⲓⲇⲱⲗⲟⲛ. ⲉⲣϩⲙ̅ϩⲁⲗ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉⲧⲟⲛϩ. ⲁⲩⲱ ⲙ̅ⲙⲉ.	 For they (are they) who speak concerning us, concerning (the) manner of the entering which we had (chi to you; and the manner (in which) ye turned to God from the idols, to be servant of God, the living (and) true;	 αὐτοὶ γὰρ περὶ ἡμῶν ἀπαγγέλλουσιν ὁποίαν εἴσοδον ἔσχομεν πρὸς ὑμᾶς, καὶ πῶς ἐπεστρέψατε πρὸς τὸν θεὸν ἀπὸ τῶν εἰδώλων δουλεύειν θεῷ ζῶντι καὶ ἀληθινῷ,						
