book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Second Epistle to Timothy	1		ⲡⲣⲟⲥ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲃ̅ ⲓ̅ⲃ̅									
Second Epistle to Timothy	1	1	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫⲟⲩⲱϣ ⲙ̀ⲫϯ ⲕⲁⲧⲁ ϯⲉⲡⲁⲅⲅⲉⲗⲓⲁ ⲛ̀ⲧⲉ ⲡⲱⲛϧ ⲑⲏ ⲉⲧϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅	 ⲡⲁⲩⲗⲟⲥ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲓⲧⲙ ⲡⲟⲩⲱϣ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲕⲁⲧⲁ ⲡⲉⲣⲏϯ ⲙ̅ⲡⲱⲛϩ̅ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅.	 Paul, (the) apostle of Christ Jesus through (the) wish of God according to the promise of (the) life which is in Christ Jesus,	 Παῦλος ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος θεοῦ κατʼ ἐπαγγελίαν ζωῆς τῆς ἐν Χριστῷ Ἰησοῦ						
Second Epistle to Timothy	1	2	 ⲛ̀ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲁⲙⲉⲛⲣⲓⲧ ⲛ̀ϣⲏⲣⲓ ⲡϩⲙⲟⲧ ⲫⲛⲁⲓ ⲧϩⲓⲣⲏⲛⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ ⲫⲓⲱⲧ ⲛⲉⲙ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲉⲛϭ̅ⲥ̅	 ⲉϥⲥϩⲁⲓ ⲛ̅ⲧⲓⲙⲟⲑⲉⲟⲥ ⲡⲉⲙⲣⲓⲧ ⲛ̅ϣⲏⲣⲉ. ⲧⲉⲭⲁⲣⲓⲥ ⲛⲁⲕ ⲙⲛ̅ ⲡⲛⲁ ⲁⲩⲱ ϯⲣⲏⲛⲏ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲛⲟⲩⲧⲉ ⲡⲓⲱⲧ ⲙⲛ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ⲡⲉⲛϫⲟⲉⲓⲥ:	 to Timotheos my beloved child, (the) grace, (the) mercy, (the) peace from God the Father and Christ Jesus our Lord.	 Τιμοθέῳ ἀγαπητῷ τέκνῳ· χάρις, ἔλεος, εἰρήνη ἀπὸ θεοῦ πατρὸς καὶ Χριστοῦ Ἰησοῦ τοῦ κυρίου ἡμῶν.						
Second Epistle to Timothy	1	3	 ϯϣⲉⲡϩⲙⲟⲧ ⲛ̀ⲧⲉⲛ ⲫϯ ⲉ̀ϯϣⲉⲙϣⲓ ⲙ̀ⲙⲟϥ ⲓⲥϫⲉⲛ ϩⲏ ⲛ̀ⲛⲁⲓⲟϯ ϧⲉⲛ ⲟⲩⲥⲩⲛⲏⲇⲉⲥⲓⲥ ⲉⲥⲟⲩⲁⲃ ϩⲱⲥ ⲉⲓⲓⲣⲓ ⲙ̀ⲡⲉⲕⲙⲉⲩⲓ ϧⲉⲛ ⲟⲩⲙⲉⲧⲁⲑⲙⲟⲩⲛⲕ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲛ̀ⲁⲧⲱⲃϩ ⲛ̀ϫⲱⲣϩ ⲛⲉⲙ ⲙⲉⲣⲓ	 ϯϣⲡ̅ϩⲙⲟⲧ ⲛ̅ⲧⲙ̅ ⲡⲁⲛⲟⲩⲧⲉ ⲡⲁⲓ ⲉϯϣⲙ̅ϣⲉ ⲛⲁϥ ϫⲓⲛ ⲛⲁⲉⲓⲟⲧⲉ ϩⲛ̅ ⲟⲩⲥⲩⲛⲓⲇⲏⲥⲓⲥ ⲉⲥⲟⲩⲁⲁⲃ. ⲛ̅ⲑⲉ ⲉϯⲉⲓⲣⲉ ⲙ̅ⲡⲉⲕⲙⲉⲉⲩⲉ ⲁϫⲛ̅ⲱϫⲛ̅ ϩⲛ̅ ⲛⲁⲥⲟⲡⲥ ⲛ̅ⲧⲉⲩϣⲏ. ⲁⲩⲱ ⲡⲉϩⲟⲟⲩ	 I give thanks to God whom I serve from my ancestors, in pure conscience, as remembering thee unfailingly in my prayers by night and day,	 Χάριν ἔχω τῷ θεῷ, ᾧ λατρεύω ἀπὸ προγόνων ἐν καθαρᾷ συνειδήσει, ὡς ἀδιάλειπτον ἔχω τὴν περὶ σοῦ μνείαν ἐν ταῖς δεήσεσίν μου, νυκτὸς καὶ ἡμέρας						
Second Epistle to Timothy	1	4	 ⲉⲓⲙⲉⲓ ⲛ̀ⲛⲁⲩ ⲉ̀ⲣⲟⲕ ⲉⲓⲓⲣⲓ ⲙ̀ⲫⲙⲉⲩⲓ ⲛ̀ⲛⲉⲕⲉⲣⲙⲱⲟⲩⲓ ϩⲓⲛⲁ ⲛ̀ⲧⲁⲙⲟϩ ⲛ̀ⲣⲁϣⲓ	 ⲉⲓⲟⲩⲱϣ ⲉⲛⲁⲩ ⲉⲣⲟⲕ. ⲉⲉⲓⲉⲓⲣⲉ ⲙ̅ⲡⲙⲉⲉⲩⲉ ⲛ̅ⲛⲉⲕⲣⲙ̅ⲉⲓⲏ ϫⲉ ⲉⲓⲉⲙⲟⲩϩ ⲉⲃⲟⲗ ⲛ̅ⲣⲁϣⲉ.	 loving to see thee, remembering thy tears, that I may be filled with joy.	 ἐπιποθῶν σε ἰδεῖν, μεμνημένος σου τῶν δακρύων, ἵνα χαρᾶς πληρωθῶ						
Second Epistle to Timothy	1	5	 ⲉⲓⲓⲣⲓ ⲙ̀ⲫⲙⲉⲩⲓ ⲙ̀ⲡⲓⲛⲁϩϯ ⲉⲧⲉⲛ̀ϧⲏⲧⲕ ⲛ̀ⲁⲧⲙⲉⲧϣⲟⲃⲓ ⲫⲁⲓ ⲉⲧⲁϥϣⲱⲡⲓ ⲛ̀ϣⲟⲣⲡ ϧⲉⲛ ⲑⲙⲁⲩ ⲛ̀ⲧⲉⲕⲙⲁⲩ ⲗⲱⲏⲇⲏ ⲛⲉⲙ ⲧⲉⲕⲙⲁⲩ ⲉⲩⲛⲓⲕⲏ ⲡⲁϩⲏⲧ ⲇⲉ ⲑⲏⲧ ϫⲉ ⲁϥϣⲱⲡⲓ ⲛ̀ϧⲏⲧⲕ ϩⲱⲕ	 ⲉⲓϫⲓ ⲙ̅ⲡⲣ̅ⲡⲙⲉⲉⲩⲉ ⲛⲧⲡⲓⲥⲧⲓⲥ ⲉⲧⲛ̅ϩⲏⲧⲕ ⲁϫⲛ ϩⲩⲡⲟⲕⲣⲓⲥⲓⲥ ⲧⲁⲓ ⲉⲛⲧⲁⲥⲟⲩⲱϩ ⲛ̅ϣⲟⲣⲡ̅ ϩⲛ̅ ⲧⲙⲁⲁⲩ ⲛ̅ⲧⲉⲕⲙⲁⲁⲩ ⲗⲱⲉⲓⲥ. ⲙⲛ̅ ⲧⲉⲕⲙⲁⲁⲩ ⲉⲩⲛⲓⲕⲏ. ϯⲛⲁϩⲧⲉ ⲇⲉ ⲟⲛ ϫⲉ ⲥⲛ̅ϩⲏⲧⲕ̅.	 Remembering the faith which is in thee unfeigned; this which dwelt first in (the) mother of thy mother Lōēdē, and thy mother Eunikē; but I am persuaded that it dwelt in thee also.	 ὑπόμνησιν λαβὼν τῆς ἐν σοὶ ἀνυποκρίτου πίστεως, ἥτις ἐνῴκησεν πρῶτον ἐν τῇ μάμμῃ σου Λωΐδι καὶ τῇ μητρί σου Εὐνίκῃ, πέπεισμαι δὲ ὅτι καὶ ἐν σοί.						
Second Epistle to Timothy	1	6	 ⲉⲑⲃⲉⲫⲁⲓ ϯϯ ⲙ̀ⲫⲙⲉⲩⲓ ⲛⲁⲕ ϫⲉ ⲛ̀ⲧⲉⲕⲑⲣⲉ ⲡⲓϩⲙⲟⲧ ⲛ̀ⲧⲉ ⲫϯ ⲟⲩⲁϩⲉⲙ ⲱⲛϧ ⲉⲧⲉ ⲫⲁⲓ ⲡⲉ ⲉⲧϣⲟⲡ ⲛ̀ϧⲏⲧⲕ ⲫⲁⲓ ⲉⲧⲁⲩⲧⲏⲓϥ ⲛⲁⲕ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲟⲧϥ ⲙ̀ⲡⲁⲭⲁϫⲓϫ	 ⲉⲧⲃⲉ ⲡⲁⲓ ϯⲧⲣⲉⲕⲉⲓⲣⲉ ⲙ̅ⲡⲙⲉⲉⲩⲉ ⲉⲧⲣⲉⲕϯⲟⲩⲣⲟⲧ ⲙ̅ⲡⲉϩⲙⲟⲧ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲉⲧⲛ̅ϩⲏⲧⲕ̅ ϩⲓⲧⲙ̅ ⲡⲧⲁⲗⲟ ⲛ̅ⲛⲁϭⲓϫ.	 Therefore I remind thee that thou should revivify the grace of God, which is this which is in thee, this which was given to thee through my laying on of hand.	 διʼ ἣν αἰτίαν ἀναμιμνῄσκω σε ἀναζωπυρεῖν τὸ χάρισμα τοῦ θεοῦ, ὅ ἐστιν ἐν σοὶ διὰ τῆς ἐπιθέσεως τῶν χειρῶν μου·						
Second Epistle to Timothy	1	7	 ⲟⲩ ⲅⲁⲣ ⲙ̀ⲡⲁϥϯ ⲛⲁⲛ ⲛ̀ϫⲉ ⲫϯ ⲛⲟⲩⲡⲛ̅ⲁ̅ ⲛ̀ϩⲟϯ ⲁⲗⲗⲁ ⲛ̀ⲧⲉ ⲟⲩϫⲟⲙ ⲛⲉⲙ ⲟⲩⲁⲅⲁⲡⲏ ⲛⲉⲙ ⲟⲩⲙⲉⲧⲥⲁⲃⲉ	 ⲛ̅ⲧⲁ ⲡⲛⲟⲩⲧⲉ ⲅⲁⲣ ϯ ⲛⲁⲛ ⲁⲛ ⲛ̅ⲟⲩⲡⲛ̅ⲁ̅ ⲙ̅ⲙⲛ̅ⲧϭⲱⲃ. ⲁⲗⲗⲁ ⲛ̅ϭⲟⲙ. ϩⲓ ⲁⲅⲁⲡⲏ ϩⲓ ⲙⲛ̅ⲧⲣⲙ̅ⲛ̅ϩⲏⲧ.	 For God giveth not to us a spirit of fear, but of [a] power and [a] love and [a] prudence.	 οὐ γὰρ ἔδωκεν ἡμῖν ὁ θεὸς πνεῦμα δειλίας, ἀλλὰ δυνάμεως καὶ ἀγάπης καὶ σωφρονισμοῦ.						
Second Epistle to Timothy	1	8	 ⲙ̀ⲡⲉⲣϣⲓⲡⲓ ⲟⲩⲛ ϧⲁⲧϩⲏ ⲛ̀ϯⲙⲉⲧⲙⲉⲑⲣⲉ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲟⲩⲇⲉ ⲙ̀ⲙⲟⲓ ϩⲱ ⲡⲉⲧⲥⲟⲛϩ ⲛ̀ⲧⲁϥ ⲁⲗⲗⲁ ϣⲉⲡⲙⲕⲁϩ ⲛⲉⲙ ⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲕⲁⲧⲁ ϯϫⲟⲙ ⲛ̀ⲧⲉ ⲫϯ	 ⲙ̅ⲡⲣ̅ϯϣⲓⲡⲉ ϭⲉ ⲛ̅ⲧⲙⲛ̅ⲧⲙⲛ̅ⲧⲣⲉ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ. ⲟⲩⲇⲉ ⲛⲁⲓ ⲡⲉⲧⲙⲏⲣ ⲛ̅ⲧⲁϥ. ⲁⲗⲗⲁ ϣⲡ̅ϩⲓⲥⲉ ⲙⲛ̅ ⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲕⲁⲧⲁ ⲧϭⲟⲙ ⲙⲡⲛⲟⲩⲧⲉ.	 Be not ashamed then of the witness of our Lord, nor of me also the prisoner of his: but suffer with the Gospel according to the power of God;	 Μὴ οὖν ἐπαισχυνθῇς τὸ μαρτύριον τοῦ κυρίου ἡμῶν μηδὲ ἐμὲ τὸν δέσμιον αὐτοῦ, ἀλλὰ συγκακοπάθησον τῷ εὐαγγελίῳ κατὰ δύναμιν θεοῦ,						
Second Epistle to Timothy	1	9	 ⲫⲁⲓ ⲉⲧⲁϥⲛⲁϩⲙⲉⲛ ⲟⲩⲟϩ ⲁϥⲑⲁϩⲙⲉⲛ ϧⲉⲛ ⲟⲩⲑⲱϩⲉⲙ ⲉϥⲟⲩⲁⲃ ⲕⲁⲧⲁ ⲛⲉⲛϩⲃⲏⲟⲩⲓ ⲁⲛ ⲁⲗⲗⲁ ⲕⲁⲧⲁ ⲡⲉϥϣⲟⲣⲡ ⲛ̀ⲑⲱϣ ⲙ̀ⲙⲁⲩⲁⲧϥ ⲛⲉⲙ ⲡⲉϥϩⲙⲟⲧ ⲉⲧⲁϥⲧⲏⲓϥ ⲛⲁⲛ ϧⲉⲛ ⲡⲭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ϧⲁⲧϩⲏ ⲛ̀ⲛⲓⲥⲏⲟⲩ ⲛ̀ⲉⲛⲉϩ	 ⲡⲁⲓ ⲉⲛⲧⲁϥⲧⲁⲛϩⲟⲛ. ⲁⲩⲱ ⲁϥⲧⲁϩⲙ̅ⲛ ϩⲛ̅ ⲟⲩⲧⲱϩⲙ̅ ⲉϥⲟⲩⲁⲁⲃ. ⲉⲛ̅ⲕⲁⲧⲁ ⲛⲉⲛϩⲃⲏⲩⲉ ⲁⲛ. ⲁⲗⲗⲁ ⲕⲁⲧⲁ ⲡⲉϥⲧⲱϣ ⲙ̅ⲙⲓⲛ ⲙ̅ⲙⲟϥ. ⲙⲛ̅ ⲧⲉϥⲭⲁⲣⲓⲥ ⲉⲛⲧⲁϥⲧⲁⲁⲥ ⲛⲁⲛ ϩⲙ̅ ⲡⲉⲭ̅ⲥ̅ ⲓ̅ⲥ̅ ϩⲁⲑⲏ ⲛ̅ⲛⲉⲩⲟⲉⲓϣ ⲛ̅ϣⲁ ⲉⲛⲉϩ.	 he who saved us, and he called us in a holy calling, not according to our works, but according to his foreordaining alone, and his grace which he gave to us in Christ Jesus before the eternal times,	 τοῦ σώσαντος ἡμᾶς καὶ καλέσαντος κλήσει ἁγίᾳ, οὐ κατὰ τὰ ἔργα ἡμῶν ἀλλὰ κατὰ ἰδίαν πρόθεσιν καὶ χάριν, τὴν δοθεῖσαν ἡμῖν ἐν Χριστῷ Ἰησοῦ πρὸ χρόνων αἰωνίων,						
