book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Hosea	1		ⲱⲥⲏ ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ									
Hosea	1	1	 ⲡⲥⲁϫⲓ ⲙⲡϭ̅ⲥ̅ ⲉⲧⲁϥϣⲱⲡⲓ ϩⲁ ⲱⲥⲏ ⲡϣⲏⲣⲓ ⲙ̀ⲃⲉⲏⲣⲓⲙ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲟⲩⲍⲓⲟⲩ ⲛⲉⲙ ⲓⲱⲁⲑⲁⲙ ⲛⲉⲙ ⲁⲭⲁⲍ ⲛⲉⲙ ⲉⲍⲉⲕⲓⲁⲥ ⲛⲓⲟⲩⲣⲱⲟⲩ ⲛ̀ⲧⲉ ⲓⲟⲩⲇⲁ ⲛⲉⲙ ϧⲉⲛ ⲛⲓⲉϩⲟⲟⲩ ⲛ̀ⲧⲉ ⲉⲓⲣⲟⲩⲫⲁⲙ ⲡϣⲏⲣⲓ ⲛ̀ⲓⲟⲩⲭⲁϣ ⲡⲟⲩⲣⲟ ⲙ̀ⲡⲓⲥ̅ⲗ̅		 The word of the Lord which came to Osee the son of Beeri, in the days of Ozias, and Joatham, and Achaz, and Ezekias, kings of Juda, and in the days of Jeroboam son of Joas, king of Israel.	 Λόγος κυρίου, ὃς ἐγενήθη πρὸς Ωσηε τὸν τοῦ Βεηρι ἐν ἡµέραις Οζιου καὶ Ιωαθαµ καὶ Αχαζ καὶ Εζεκιου βασιλέων Ιουδα καὶ ἐν ἡµέραις Ιεροβοαµ υἱοῦ Ιωας βασιλέως Ισραηλ.						
Hosea	1	2	 ⲧⲁⲣⲭⲏ ⲙ̀ⲡⲓⲥⲁϫⲓ ⲙⲡϭ̅ⲥ̅ ⲛⲱⲥⲏ ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲛ̀ⲱⲥⲏ ⲁⲙⲟⲩ ϫⲉ ⲙⲟϣⲓ ⲟⲩⲟϩ ⲁⲕϭⲓ ⲛⲁⲕ ⲛ̀ⲟⲩⲥϩⲓⲙⲓ ⲙ̀ⲡⲟⲣⲛⲓⲁ ⲟⲩⲟϩ ⲛⲉⲛϣⲏⲣⲓ ⲙ̀ⲡⲟⲣⲛⲓⲁ ϥⲟⲩⲱⲛ ϧⲉⲛ ⲟⲩⲡⲟⲣⲛⲓⲁ ϯⲛⲁⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ ⲛ̀ϫⲉ ⲡⲕⲁϩⲓ ⲉ̀ⲃⲟⲗ ⲥⲁⲙⲉⲛϩⲉ ⲙ̀ⲡϭ̅ⲥ̅		 The beginning of the word of the Lord by Osee. And the Lord said to Osee, Go, take to thyself a wife of fornication, and children of fornication: for the land will surely go a-whoring in departing from the Lord.	 Ἀρχὴ λόγου κυρίου πρὸς Ωσηε· καὶ εἶπεν κύριος πρὸς Ωσηε Βάδιζε λαβὲ σεαυτῷ γυναῖκα πορνείας καὶ τέκνα πορνείας, διότι ἐκπορνεύουσα ἐκπορνεύσει ἡ γῆ ἀπὸ ὄπισθεν τοῦ κυρίου.						
Hosea	1	3	 ⲟⲩⲟϩ ⲁϥϣⲉ ⲛⲁϥ ⲁϥϭⲓ ⲛ̀ⲅⲟⲙⲉⲣ ⲧϣⲉⲣⲓ ⲙ̀ⲃⲉⲗⲏⲗⲉⲙ ⲟⲩⲟϩ ⲁⲥⲉⲣⲃⲟⲕⲓ ⲁⲥⲙⲓⲥⲓ ⲛⲁϥ ⲛ̀ⲟⲩϣⲏⲣⲓ		 So he went and took Gomer, daughter of Debelaim; and she conceived, and bore him a son.	 καὶ ἐπορεύθη καὶ ἔλαβεν τὴν Γοµερ θυγατέρα Δεβηλαιµ, καὶ συνέλαβεν καὶ ἔτεκεν αὐτῷ υἱόν.						
Hosea	1	4	 ⲟⲩⲟϩ ⲡⲉϫⲉ ⲡϭ̅ⲥ̅ ⲛ̀ⲱⲥⲏⲉ ⲉⲕⲉ̀ⲙⲟⲩϯ ⲉ̀ⲡⲉϥⲣⲁⲛ ϫⲉ ⲓⲉⲍⲣⲁⲉⲗ ϫⲉ ⲟⲩⲏⲓ ⲉⲧⲓ ⲕⲟⲩϫⲓ ⲟⲩⲟϩ ⲉⲓⲉ̀ϭⲓ ⲙ̀ⲡⲓⲡϣⲓϣ ⲙ̀ⲡⲥⲛⲟϥ ⲛ̀ⲓⲉⲍⲣⲁⲉⲗ ⲉ̀ϫⲉⲛ ⲡⲏⲓ ⲛ̀ⲓⲟⲩⲇⲁ ⲟⲩⲟϩ ϯⲛⲁϯ ⲙⲧⲟⲛ ⲛ̀ⲟⲩⲙⲉⲧⲟⲩⲣⲟ ⲛ̀ⲧⲉ ⲡⲏⲓ ⲙ̀ⲡⲓⲥ̅ⲗ̅		 And the Lord said to him, Call his name Jezrael; for yet a little while, and I will avenge the blood of Jezrael on the house of Juda, and will make to cease the kingdom of the house of Israel.	 καὶ εἶπεν κύριος πρὸς αὐτόν Κάλεσον τὸ ὄνοµα αὐτοῦ Ιεζραελ, διότι ἔτι µικρὸν καὶ ἐκδικήσω τὸ αἷµα τοῦ Ιεζραελ ἐπὶ τὸν οἶκον Ιου καὶ καταπαύσω βασιλείαν οἴκου Ισραηλ·						
Hosea	1	5	 ⲟⲩⲟϩ ⲉⲥⲉ̀ϣⲱⲡⲓ ϧⲉⲛ ⲡⲓⲉϩⲟⲟⲩ ⲉⲧⲉⲙ̀ⲙⲁⲩ ϯⲛⲁϧⲟⲙϧⲉⲙ ⲛ̀ϯⲫⲓϯ ⲛ̀ⲧⲉ ⲡⲓⲥ̅ⲗ̅ ϧⲉⲛ ϯϧⲉⲗⲗⲟⲧ ⲛ̀ⲧⲉ ⲓⲉⲍⲣⲁⲉⲗ		 And it shall be, in that day, that I will break the bow of Israel in the valley of Jezrael.	 καὶ ἔσται ἐν τῇ ἡµέρᾳ ἐκείνῃ συντρίψω τὸ τόξον τοῦ Ισραηλ ἐν τῇ κοιλάδι τοῦ Ιεζραελ. —						
Hosea	1	6	 ⲟⲩⲟϩ ⲁⲥⲉⲣⲃⲟⲕⲓ ⲟⲩⲟϩ ⲁⲥⲙⲓⲥⲓ ⲛ̀ⲟⲩϣⲉⲣⲓ ⲟⲩⲟϩ ⲡⲉϫⲁⲥ ϫⲉ ⲙⲟⲩϯ ⲉ̀ⲡⲉⲥⲣⲁⲛ ϫⲉ ⲑⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲛⲁⲓ ⲛⲁⲥ ϫⲉ ⲟⲩⲏⲓ ϯⲛⲁⲟⲩⲁϩ ⲧⲟⲧ ⲁⲛ ϫⲉ ⲉ̀ⲙⲉⲛⲣⲉ ⲡⲏⲓ ⲙ̀ⲡⲓⲥ̅ⲗ̅ ⲁⲗⲗⲁ ϧⲉⲛ ⲟⲩϯ ϯⲛⲁϯ ⲉ̀ϧⲟⲩⲛ ⲉ̀ϩⲣⲁⲩ		 And she conceived again, and bore a daughter. And he said to him, Call her name, Unpitied: for I will no more have mercy on the house of Israel, but will surely set myself in array against them.	 καὶ συνέλαβεν ἔτι καὶ ἔτεκεν θυγατέρα. καὶ εἶπεν αὐτῷ Κάλεσον τὸ ὄνοµα αὐτῆς Οὐκ-ἠλεηµένη, διότι οὐ µὴ προσθήσω ἔτι ἐλεῆσαι τὸν οἶκον τοῦ Ισραηλ, ἀλλ’ ἢ ἀντιτασσόµενος ἀντιτάξοµαι αὐτοῖς.						
Hosea	1	7	 ⲛⲉⲛϣⲏⲣⲓ ⲇⲉ ⲛ̀ⲓⲟⲩⲇⲁ ϯⲛⲁⲛⲁⲓ ⲛⲱⲟⲩ ⲟⲩⲟϩ ϯⲛⲁⲧⲟⲩϫⲱⲟⲩ ϧⲉⲛ ⲡϭ̅ⲥ̅ ⲡⲟⲩⲛⲟⲩϯ ⲟⲩⲟϩ ⲛⲁⲓⲛⲁⲧⲟⲩϫⲱⲟⲩ ⲁⲛ ϧⲉⲛ ⲟⲩⲫⲓϯ ⲟⲩⲇⲉ ϧⲉⲛ ⲟⲩⲥⲏϥⲓ ⲟⲩⲇⲉ ϧⲉⲛ ⲟⲩⲡⲟⲗⲉⲙⲟⲥ ⲟⲩⲇⲉ ϧⲉⲛ ϩⲁⲛϩⲁⲣⲙⲁ ⲟⲩⲇⲉ ϧⲉⲛ ϩⲁⲛϩⲑⲱⲣ ⲟⲩⲇⲉ ϧⲉⲛ ϩⲁⲛϭⲁⲥⲓϩⲑⲱ		 But I will have mercy on the house of Juda, and will save them by the Lord their God, and will not save them with bow, nor with sword, nor by war, nor by horses, nor by horsemen.	 τοὺς δὲ υἱοὺς Ιουδα ἐλεήσω καὶ σώσω αὐτοὺς ἐν κυρίῳ θεῷ αὐτῶν καὶ οὐ σώσω αὐτοὺς ἐν τόξῳ οὐδὲ ἐν ῥοµφαίᾳ οὐδὲ ἐν πολέµῳ οὐδὲ ἐν ἅρµασιν οὐδὲ ἐν ἵπποις οὐδὲ ἐν ἱππεῦσιν. —						
Hosea	1	8	 ⲟⲩⲟϩ ⲁⲥⲧⲟⲩⲓⲟ ⲛ̀ⲑⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲙⲉⲛⲣⲓⲧⲥ ⲟⲩⲟϩ ⲁⲥⲉⲣⲃⲟⲕⲓ ⲟⲛ ⲟⲩⲟϩ ⲁⲥⲙⲓⲥⲓ ⲛ̀ⲟⲩϣⲏⲣⲓ		 And she weaned Unpitied; and she conceived again, and bore a son.	 καὶ ἀπεγαλάκτισεν τὴν Οὐκ- ἠλεηµένην καὶ συνέλαβεν ἔτι καὶ ἔτεκεν υἱόν.						
Hosea	1	9	 ⲟⲩⲟϩ ⲡⲉϫⲁϥ ϫⲉ ⲙⲟⲩϯ ⲉ̀ⲡⲉϥⲣⲁⲛ ϫⲉ ⲡⲁⲗⲁⲟⲥ ⲁⲛ ϫⲉ ⲛ̀ⲑⲱⲧⲉⲛ ⲡⲁⲗⲁⲟⲥ ⲁⲛ ⲟⲩⲟϩ ⲁ̀ⲛⲟⲕ ϩⲱ ⲁ̀ⲛⲟⲕ ⲫⲱⲧⲉⲛ ⲁⲛ		 And he said, Call his name, Not my people: for ye are not my people, and I am not your God.	 καὶ εἶπεν Κάλεσον τὸ ὄνοµα αὐτοῦ Οὐ-λαόσ-µου, διότι ὑµεῖς οὐ λαός µου, καὶ ἐγὼ οὔκ εἰµι ὑµῶν.						
