book	chapter	verse	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Epistle of Jeremiah	1		ⲓⲉⲣⲉⲙⲓⲟⲩ ⲉⲡⲓⲥⲧⲟⲗⲏ									
Epistle of Jeremiah	1	1	 ⲡⲁⲛⲧⲓⲅⲣⲁⲫⲟⲛ ⲛ̀ⲧⲉ ϯⲉⲡⲓⲥⲧⲟⲗⲏ ⲑⲏ ⲉⲧⲁϥⲟⲩⲟⲣⲡⲥ ⲛ̀ϫⲉ ⲓⲉⲣⲉⲙⲓⲁⲥ ϩⲁ ⲛⲉⲉⲭⲙⲁⲗⲱⲧⲟⲥ ⲉⲧⲟⲩⲛⲁⲉⲛⲟⲩ ⲉ̀ⲃⲁⲃⲩⲗⲱⲛ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲟⲩⲣⲟ ⲙ̀ⲃⲁⲃⲩⲗⲱⲛ. ⲉ̀ⲧⲁⲙⲱⲟⲩ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁⲩⲥⲁϩⲛⲏⲧϥ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲫϯ.		 A copy of an epistle, which Jeremy sent unto them which were to be led captives into Babylon by the king of the Babylonians, to certify them, as it was commanded him of God.	Ἀντίγραφον ἐπιστολῆς, ἧς ἀπέστειλεν Ιερεµιας πρὸς τοὺς ἀχθησοµένους αἰχµαλώτους εἰς Βαβυλῶνα ὑπὸ τοῦ βασιλέως τῶν Βαβυλωνίων ἀναγγεῖλαι αὐτοῖς καθότι ἐπετάγη αὐτῷ ὑπὸ τοῦ θεοῦ.						
Epistle of Jeremiah	1	2	 ϫⲉ ⲉⲑⲃⲉ ⲛⲉⲧⲉⲛⲛⲟⲃⲓ ⲛⲏ ⲉⲧⲁⲣⲉⲧⲉⲛⲁⲓⲧⲟⲩ ⲙ̀ⲡⲉⲙ̀ⲑⲟ ⲙ̀ⲫϯ. ⲉⲩⲉ̀ϭⲓ ⲑⲏⲛⲟⲩ ⲛ̀ⲉⲭⲙⲁⲗⲱⲧⲟⲥ ⲉ̀ⲃⲁⲃⲩⲗⲱⲛ. ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ ⲡⲟⲩⲣⲟ ⲙ̀ⲃⲁⲃⲩⲗⲱⲛ.		 Because of the sins which ye have committed before God, ye shall be led away captives into Babylon by Nabuchodonosor king of the Babylonians.	 Διὰ τὰς ἁµαρτίας, ἃς ἡµαρτήκατε ἐναντίον τοῦ θεοῦ, ἀχθήσεσθε εἰς Βαβυλῶνα αἰχµάλωτοι ὑπὸ Ναβουχοδονοσορ βασιλέως τῶν Βαβυλωνίων.						
Epistle of Jeremiah	1	3	 ⲁⲣⲉⲧⲉⲛϣⲁⲛϣⲉ ⲟⲩⲛ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲃⲁⲃⲩⲗⲱⲛ. ⲉⲣⲉⲧⲉⲛϣⲱⲡⲓ ⲙ̀ⲙⲁⲩ ⲛ̀ⲟⲩⲙⲏϣ ⲛ̀ⲣⲟⲙⲡⲓ ⲛⲉⲙ ⲟⲩⲛⲓϣϯ ⲛ̀ⲭⲣⲟⲛⲟⲥ ϣⲁ ⲍ̅ ⲛ̀ⲅⲉⲛⲉⲁ ⲙⲉⲛⲉⲛⲥⲁ ⲛⲁⲓ ⲇⲉ ⲉⲓⲉ̀ⲉⲛ ⲑⲏⲛⲟⲩ ⲉ̀ⲃⲟⲗ ⲙ̀ⲙⲁⲩ ϧⲉⲛ ⲟⲩϩⲓⲣⲏⲛⲏ.		 So when ye be come unto Babylon, ye shall remain there many years, and for a long season, namely, seven generations: and after that I will bring you away peaceably from thence.	 εἰσελθόντες οὖν εἰς Βαβυλῶνα ἔσεσθε ἐκεῖ ἔτη πλείονα καὶ χρόνον µακρὸν ἕως γενεῶν ἑπτά, µετὰ τοῦτο δὲ ἐξάξω ὑµᾶς ἐκεῖθεν µετ’ εἰρήνης.						
Epistle of Jeremiah	1	4	 ϯⲛⲟⲩ ⲇⲉ ⲉⲣⲉⲧⲉⲛⲉ̀ⲛⲁⲩ ϧⲉⲛ ⲃⲁⲃⲩⲗⲱⲛ ⲉ̀ϩⲁⲛⲛⲟⲩϯ ⲛ̀ϩⲁⲧ. ⲛⲉⲙ ϩⲁⲛⲛⲟⲩⲃ ⲛⲉⲙ ϩⲁⲛϣⲉ ⲉⲩϥⲁⲓ ⲙ̀ⲙⲱⲟⲩ ϧⲉⲛ ⲧⲟⲩⲛⲁϩⲃⲓ ⲉⲩⲧⲁⲙⲟ ⲛ̀ⲟⲩϩⲟϯ ⲉ̀ⲛⲓⲉⲑⲛⲟⲥ.		 Now shall ye see in Babylon gods of silver, and of gold, and of wood, borne upon shoulders, which cause the nations to fear.	 νυνὶ δὲ ὄψεσθε ἐν Βαβυλῶνι θεοὺς ἀργυροῦς καὶ χρυσοῦς καὶ ξυλίνους ἐπ’ ὤµοις αἰροµένους δεικνύντας φόβον τοῖς ἔθνεσιν.						
Epistle of Jeremiah	1	5	 ⲁⲛⲁⲩ ⲟⲩⲛ ⲙⲏⲡⲱⲥ ϩⲱⲧⲉⲛ ⲛ̀ⲧⲉⲧⲉⲛⲓⲛⲓ ⲛ̀ⲛⲓⲁⲗⲗⲟⲫⲩⲗⲟⲥ. ⲟⲩⲟϩ ⲛ̀ⲧⲉ ⲟⲩϩⲟϯ ⲧⲁϩⲉ ⲑⲏⲛⲟⲩ ⲉ̀ϩⲣⲏⲓ ⲉ̀ϫⲱⲟⲩ. ⲁⲣⲉⲧⲉⲛϣⲁⲛⲛⲁⲩ ⲉ̀ⲟⲩⲙⲏϣ ϩⲓⲫⲁϩⲟⲩ ⲙ̀ⲙⲱⲟⲩ. ⲛⲉⲙ ϩⲓⲧϩⲏ. ⲉⲩⲟⲩⲱϣⲧ ⲙ̀ⲙⲱⲟⲩ.		 Beware therefore that ye in no wise be like to strangers, neither be ye and of them, when ye see the multitude before them and behind them, worshipping them.	 εὐλαβήθητε οὖν µὴ καὶ ὑµεῖς ἀφοµοιωθέντες τοῖς ἀλλοφύλοις ἀφοµοιωθῆτε καὶ φόβος ὑµᾶς λάβῃ ἐπ’ αὐτοῖς						
Epistle of Jeremiah	1	6	 ⲁϫⲟⲥ ⲛ̀ⲑⲱⲧⲉⲛ ϧⲉⲛ ⲡⲉⲧⲉⲛϩⲏⲧ. ϫⲉ ⲛ̀ⲑⲟⲕ ⲉⲧⲉⲥϣⲉ ⲛ̀ⲟⲩⲱϣⲧ ⲛⲁⲕ ⲫⲛⲏⲃ.		 But say ye in your hearts, O Lord, we must worship thee.	 ἰδόντας ὄχλον ἔµπροσθεν καὶ ὄπισθεν αὐτῶν προσκυνοῦντας αὐτά, εἴπατε δὲ τῇ διανοίᾳ Σοὶ δεῖ προσκυνεῖν, δέσποτα.						
Epistle of Jeremiah	1	7	 ⲡⲁⲁⲅⲅⲉⲗⲟⲥ ⲅⲁⲣ ⲭⲏ ⲛⲉⲙⲱⲧⲉⲛ. ⲛ̀ⲑⲟϥ ⲉⲑⲛⲁⲕⲱϯ ⲛ̀ⲥⲁ ⲛⲉⲧⲉⲛⲯⲩⲭⲏ.		 For mine angel is with you, and I myself caring for your souls.	 ὁ γὰρ ἄγγελός µου µεθ’ ὑµῶν ἐστιν, αὐτός τε ἐκζητῶν τὰς ψυχὰς ὑµῶν.						
Epistle of Jeremiah	1	8	 ⲡⲟⲩⲗⲁⲥ ⲅⲁⲣ ϥϧⲏϧ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲟⲩϩⲁⲙϣⲉ. ⲛ̀ⲑⲱⲟⲩ ⲇⲉ ⲉⲩⲟⲓ ⲛ̀ⲓⲉⲡⲛ̀ⲛⲟⲩⲃ ⲛⲉⲙ ⲓⲉⲡⲛ̀ϩⲁⲧ. ϩⲁⲛⲙⲉⲑⲛⲟⲩϫ ⲛⲉ. ⲟⲩⲟϩ ⲙ̀ⲙⲟⲛ ϣ̀ϫⲟⲙ ⲙ̀ⲙⲱⲟⲩ ⲉ̀ⲥⲁϫⲓ.		 As for their tongue, it is polished by the workman, and they themselves are gilded and laid over with silver; yet are they but false, and cannot speak.	 Γλῶσσα γὰρ αὐτῶν ἐστιν κατεξυσµένη ὑπὸ τέκτονος, αὐτά τε περίχρυσα καὶ περιάργυρα, ψευδῆ δ’ ἐστὶν καὶ οὐ δύνανται λαλεῖν.						
Epistle of Jeremiah	1	9	 ⲟⲩⲟϩ ⲙ̀ⲫⲣⲏϯ ⲛ̀ⲟⲩⲡⲁⲣⲑⲉⲛⲟⲥ. ⲙ̀ⲙⲁⲓⲥⲟⲗⲥⲉⲗ ⲥⲉϭⲓ ⲛ̀ⲟⲩⲛⲟⲩⲃ. ⲓⲉ ⲟⲩϩⲁⲧ ⲉ̀ⲃⲟⲗ ⲥⲉⲑⲁⲙⲓⲟ ⲛ̀ϩⲁⲛⲭⲗⲟⲙ ⲉ̀ϫⲉⲛ ⲧⲁⲫⲉ ⲛ̀ⲛⲟⲩⲛⲟⲩϯ.		 And taking gold, as it were for a virgin that loveth to go gay, they make crowns for the heads of their gods.	 καὶ ὥσπερ παρθένῳ φιλοκόσµῳ λαµβάνοντες χρυσίον κατασκευάζουσιν στεφάνους ἐπὶ τὰς κεφαλὰς τῶν θεῶν αὐτῶν·						
